seq	lambda	rate_bpp	psnr_db
biville	0.0001	1.972773799	40.25609718
biville	0.0002	1.606454355	38.28284975
biville	0.0003	1.368534795	37.03767585
biville	0.0004	1.280173973	36.19989966
biville	0.0005	1.130181207	35.23373349
biville	0.0008	0.726390697	32.45132201
biville	0.001	0.598641855	31.51571504
biville	0.002	0.311315466	29.32224493
biville	0.003	0.264585142	28.86123676
biville	0.004	0.209825304	28.29510897
biville	0.005	0.177707248	27.80187898
biville	0.008	0.088478371	26.65278803
biville	0.01	0.084572121	26.50051271
biville	0.02	0.041711878	25.33228878
