seq_name	lmbda	rate_bpp	n_pixels	h	w	n_frames	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_blend_sec	dec_time_warp_sec	dec_time_coeffgen_sec	dec_time_coeffget_sec	dec_time_bpred_sec	dec_time_all_sec
C-RaceHorses_832x480_30p_yuv420_8b	0.002	0.059436965811965815	119808000	480	832	300	30.662995723006482	1.20275	0.504804	6.1664	0.0	13.9564	0.00016425	0.416296	0.407236	22.8907
C-BasketballDrill_832x480_50p_yuv420_8b	0.002	0.03602688301282051	199680000	480	832	500	33.37046990391618	0.895443	0.774212	10.2698	0.0	22.3952	0.000242806	0.848217	0.621407	36.0354
C-PartyScene_832x480_50p_yuv420_8b	0.002	0.046319511217948715	199680000	480	832	500	29.929224659243687	1.53989	0.743249	10.2718	0.0	22.4064	0.000232271	0.84825	0.61343	36.5314
C-BQMall_832x480_60p_yuv420_8b	0.002	0.03528195112179487	239616000	480	832	600	33.02308034836251	1.31292	0.786781	12.3007	0.0	27.2409	0.00027256	1.00008	0.644901	43.5136
C-RaceHorses_832x480_30p_yuv420_8b	0.0007	0.10517007211538462	119808000	480	832	300	32.942035075888484	2.05217	0.526249	6.17086	0.0	13.9407	0.000173286	0.416046	0.393764	23.659
C-BasketballDrill_832x480_50p_yuv420_8b	0.0007	0.05404166666666667	199680000	480	832	500	35.51053015603565	1.51941	0.821255	10.2723	0.0	22.4671	0.000242846	0.84796	0.561785	36.6006
C-PartyScene_832x480_50p_yuv420_8b	0.0007	0.07917616185897436	199680000	480	832	500	32.348688591958926	2.45402	0.802237	10.2728	0.0	22.5106	0.000236491	0.847983	0.554985	37.6576
C-BQMall_832x480_60p_yuv420_8b	0.0007	0.05403462206196581	239616000	480	832	600	35.39295743387568	2.15503	0.853628	12.3079	0.0	27.2729	0.000264626	1.00007	0.786676	44.5879
C-RaceHorses_832x480_30p_yuv420_8b	0.0002	0.20665291132478633	119808000	480	832	300	35.71226960282842	3.45552	0.543122	6.17528	0.0	13.9171	0.000143409	0.416525	0.414825	25.1932
C-BasketballDrill_832x480_50p_yuv420_8b	0.0002	0.09624667467948718	199680000	480	832	500	38.21121219424274	2.91112	0.873021	10.2777	0.0	22.2604	0.000248008	0.848123	0.612045	37.9044
C-PartyScene_832x480_50p_yuv420_8b	0.0002	0.15117123397435897	199680000	480	832	500	35.07017770130965	3.96916	0.862038	10.2859	0.0	22.3928	0.000252748	0.849705	0.64198	39.1355
C-BQMall_832x480_60p_yuv420_8b	0.0002	0.09533510283119657	239616000	480	832	600	38.04301379759292	3.63495	0.931623	12.3077	0.0	27.27	0.000283349	1.00009	0.668986	46.0542
C-RaceHorses_832x480_30p_yuv420_8b	6e-05	0.413386952457265	119808000	480	832	300	38.34404229751128	5.62217	0.565986	6.17496	0.0	14.0331	0.000158326	0.41686	0.455191	27.5665
C-BasketballDrill_832x480_50p_yuv420_8b	6e-05	0.17821766826923077	199680000	480	832	500	40.7899343109404	4.65844	0.9116	10.2798	0.0	22.43	0.00024499	0.848073	0.550657	39.9109
C-PartyScene_832x480_50p_yuv420_8b	6e-05	0.3016506810897436	199680000	480	832	500	37.77995377540279	6.82915	0.899829	10.2883	0.0	22.415	0.000228582	0.847963	0.640715	42.1483
C-BQMall_832x480_60p_yuv420_8b	6e-05	0.1727040264423077	239616000	480	832	600	40.246139689592155	5.68826	1.0231	12.3306	0.0	27.1291	0.00028414	1.00008	0.845136	48.2617
